AuthorID,FirstName,LastName,DOB
000000000,Joel,Conarroe,10/23/1934
000000001,Donna,Norton,11/14/1947
000000002,Hayden,Carruth,08/03/1921
000000003,Harold,Bloom,07/11/1930
000000004,Michael,Lewis,09/20/1958
000000005,Buzz,Bissinger,11/01/1954
000000006,George,Plimpton,03/18/1927
000000007,Patrick,Rothfus,02/17/1972
000000008,Brandon,Sanderson,08/12/1987
000000009,Scott,Lynch,01/01/1982
000000010,Neil,Gaiman,11/10/1960
000000011,Donald,Knuth,01/10/1938
000000012,Terry,Pratchett,04/28/1948
000000013,Syed,Shah,08/14/1997
000000014,Kurtis,Allen,03/03/1999
000000015,William,Elia,07/07/1999
